"","STATE","CERTIFIED","CERTIFIEDWITHDRAWN","DENIED","WITHDRAWN","TOTAL"
"1","IL",24266,1690,331,740,27027
"2","DC",3002,232,66,96,3396
"3","NJ",32551,2845,325,1185,36906
"4","NY",42063,2502,822,1384,46771
"5","GA",17213,1282,197,503,19195
"6","WA",18041,1341,194,572,20148
"7","TX",50195,3899,673,1771,56538
"8","CA",89823,6996,1467,3051,101337
"9","OR",3464,304,47,96,3911
"10","AR",2103,194,19,86,2402
"11","NC",12649,991,144,430,14214
"12","OK",1279,117,29,50,1475
"13","AZ",7243,506,72,206,8027
"14","MA",18825,1541,284,575,21225
"15","WI",4876,369,62,163,5470
"16","PA",15942,1399,207,616,18164
"17","FL",16327,1357,355,567,18606
"18","VA",13309,1156,222,442,15129
"19","KS",2037,149,35,89,2310
"20","MD",7756,762,118,306,8942
"21","DE",2562,171,28,76,2837
"22","CT",6087,530,70,201,6888
"23","LA",1443,131,31,66,1671
"24","MI",15284,1273,199,557,17313
"25","IN",4479,364,66,191,5100
"26","MO",6033,504,69,226,6832
"27","MN",7844,588,96,254,8782
"28","IA",2235,194,32,87,2548
"29","RI",1852,83,26,38,1999
"30","OH",11457,763,134,423,12777
"31","CO",4834,402,76,152,5464
"32","TN",5130,355,62,164,5711
"33","KY",2033,110,20,52,2215
"34","NE",1575,111,19,43,1748
"35","NV",1100,57,49,37,1243
"36","UT",2307,175,60,89,2631
"37","NH",1064,81,16,29,1190
"38","MS",540,48,10,25,623
"39","SC",2148,203,37,95,2483
"40","AL",1264,117,28,71,1480
"41","ID",671,19,14,43,747
"42","PR",523,11,9,2,545
"43","GU",195,3,7,22,227
"44","NM",616,31,18,27,692
"45","WV",341,59,12,23,435
"46","ME",501,18,15,11,545
"47","VT",311,16,3,9,339
"48","ND",330,24,8,17,379
"49","HI",372,39,29,16,456
"50","MT",132,5,17,4,158
"51","AK",158,14,2,6,180
"52","MP",226,3,36,11,276
"53","SD",220,18,8,12,258
"54","WY",98,17,6,4,125
"55","VI",40,1,2,1,44
